(224, 3)
(492, 10)
(126, 0)
(281, 0)
(232, 6)
(286, 2)
(307, 2)
(452, 5)
(499, 10)
(407, 6)
(60, 2)
(460, 10)
(426, 6)
(220, 10)
(185, 6)
(380, 1)
(397, 1)
(103, 9)
(356, 4)
(301, 1)
(324, 0)
(354, 1)
(172, 7)
(19, 0)
(12, 5)
(16, 6)
(221, 7)
(81, 8)
(432, 8)
(445, 2)
(424, 6)
(206, 5)
(254, 2)
(173, 6)
(143, 2)
(409, 8)
(271, 5)
(40, 7)
(80, 1)
(67, 2)
(390, 9)
(458, 5)
(106, 9)
(159, 8)
(351, 7)
(48, 1)
(444, 7)
(437, 4)
(246, 0)
(23, 7)
(195, 3)
(274, 4)
(33, 6)
(217, 2)
(456, 1)
(363, 1)
(219, 0)
(45, 7)
(299, 4)
(193, 4)
(53, 6)
(369, 4)
(448, 1)
(57, 1)
(228, 1)
(268, 3)
(416, 9)
(63, 2)
(178, 3)
(203, 8)
(405, 6)
(239, 2)
(198, 10)
(210, 5)
(471, 9)
(404, 5)
(52, 4)
(367, 3)
(272, 4)
(365, 0)
(97, 9)
(410, 6)
(124, 1)
(323, 9)
(157, 6)
(234, 6)
(202, 3)
(8, 3)
(315, 1)
(273, 6)
(373, 3)
(359, 2)
(115, 7)
(21, 6)
(192, 2)
(13, 9)
(477, 5)
(337, 0)
(98, 2)
(6, 5)
(425, 3)
(314, 1)
(164, 6)
(263, 0)
(168, 2)
(241, 2)
(399, 10)
(368, 9)
(44, 2)
(28, 4)
(419, 7)
(267, 0)
(65, 2)
(123, 0)
(109, 8)
(240, 4)
(306, 9)
(384, 6)
(208, 9)
(209, 2)
(4, 5)
(136, 6)
(138, 10)
(86, 5)
(422, 8)
(454, 1)
(58, 10)
(171, 8)
(182, 9)
(36, 2)
(278, 7)
(104, 2)
(479, 3)
(177, 7)
(333, 3)
(385, 6)
(277, 2)
(212, 2)
(439, 3)
(395, 5)
(231, 0)
(133, 1)
(478, 9)
(260, 7)
(146, 5)
(377, 8)
(51, 5)
(358, 5)
(201, 6)
(430, 4)
(156, 4)
(145, 6)
(85, 0)
(413, 6)
(326, 3)
(141, 10)
(302, 0)
(32, 6)
(256, 8)
(280, 8)
(197, 7)
(11, 9)
(144, 8)
(211, 7)
(160, 2)
(297, 7)
(66, 2)
(472, 10)
(495, 2)
(170, 5)
(378, 10)
(466, 2)
(457, 2)
(252, 10)
(125, 6)
(431, 4)
(285, 1)
(236, 4)
(132, 4)
(349, 3)
(376, 6)
(463, 0)
(230, 8)
(71, 9)
(366, 9)
(279, 8)
(84, 4)
(148, 5)
(174, 4)
(473, 1)
(79, 6)
(361, 9)
(255, 0)
(196, 2)
(262, 6)
(107, 5)
(294, 6)
(484, 2)
(167, 9)
(151, 4)
(227, 10)
(216, 1)
(88, 10)
(161, 3)
(186, 8)
(163, 8)
(304, 9)
(320, 9)
(96, 4)
(461, 0)
(113, 1)
(284, 6)
(290, 5)
(327, 8)
(383, 6)
(411, 3)
(205, 6)
(78, 5)
(347, 8)
(421, 10)
(374, 4)
(350, 8)
(249, 7)
(179, 4)
(465, 3)
(489, 9)
(50, 2)
(491, 9)
(427, 3)
(238, 0)
(334, 6)
(89, 2)
(275, 2)
(497, 6)
(112, 5)
(56, 10)
(25, 0)
(120, 8)
(402, 2)
(259, 10)
(242, 9)
(386, 6)
(485, 9)
(77, 5)
(282, 1)
(166, 9)
(244, 2)
(329, 3)
(41, 8)
(248, 3)
(348, 1)
(462, 7)
(360, 3)
(292, 5)
(61, 6)
(75, 10)
(483, 7)
(441, 1)
(295, 1)
(15, 3)
(316, 9)
(214, 7)
(139, 10)
(54, 1)
(215, 0)
(90, 0)
(101, 6)
(229, 6)
(245, 8)
(266, 10)
(110, 0)
(92, 7)
(102, 3)
(39, 4)
(300, 8)
(287, 6)
(235, 3)
(403, 4)
(108, 0)
(183, 4)
(184, 8)
(434, 2)
(207, 7)
(310, 10)
(328, 8)
(72, 3)
(82, 7)
(355, 7)
(459, 6)
(199, 4)
(370, 4)
(3, 10)
(149, 4)
(322, 7)
(393, 7)
(406, 1)
(162, 1)
(264, 0)
(27, 8)
(476, 7)
(429, 7)
(468, 4)
(382, 8)
(500, 8)
(46, 9)
(142, 4)
(298, 3)
(498, 6)
(394, 6)
(428, 3)
(116, 9)
(313, 8)
(105, 9)
(114, 0)
(293, 10)
(152, 10)
(400, 8)
(129, 4)
(223, 3)
(496, 8)
(312, 7)
(154, 6)
